relation	concept	shortname-activity	longname-activity
usedfor	baby	create penguin	create a luxury baby igloo in club penguin
usedfor	baby	read book	read a book to a baby or infant
usedfor	baby powder	apply makeup	apply makeup to horses for shows
usedfor	baby powder	apply makeup	apply makeup to look like marie antoinette
usedfor	baby powder	contrive stone	contrive soft, non waterproof artificial stones
usedfor	baby powder	create costume	create a jack skellington costume
usedfor	baby powder	draw tattoo	draw a temporary tattoo
usedfor	baby powder	falsify eyelash	fake longer eyelashes
usedfor	baby powder	handle day	handle a bad hair day
usedfor	baby powder	look like zombie	look like a zombie
usedfor	baby powder	make costume	make a mummy costume
usedfor	baby powder	make eyeshadow	make eyeshadow out of baby powder
usedfor	baby powder	make foundation	make mousse foundation
usedfor	baby powder	make glue	make a sticky glue like goo in under 5 minutes
usedfor	baby powder	make icing	make fake whipped cream or icing
usedfor	baby powder	make putty	make baby powder putty
usedfor	baby powder	make spray	make a peppermint foot or shoe spray
usedfor	baby powder	refresh face	refresh your face
usedfor	baby powder	replace strap	replace single wrap vinyl straps
usedfor	baby powder	rid of hair	get rid of underarm hair
usedfor	baby powder	show horse	show a miniature horse
usedfor	backpack	backpack rain	backpack in the rain
usedfor	backpack	become agent	become a kid secret service agent
usedfor	backpack	create kit	create an urban emergency evacuation kit for work
usedfor	backpack	deal out with location	deal with a difficult school locker location
usedfor	backpack	fly flight	fly internationally on an early morning flight with your kids
usedfor	backpack	go back	go back to school
usedfor	backpack	go back	go back to school shopping
usedfor	backpack	go back	go back to school shopping
usedfor	backpack	keep thing	keep your things safe in singapore
usedfor	backpack	make kit	make a spy kit from house hold items
usedfor	backpack	make kit	make an emergency kit
usedfor	backpack	make uniform	make a good nerf uniform
usedfor	backpack	organize for school	keep your backpack organized for school
usedfor	backpack	organize grade	be organized in the fifth grade
usedfor	backpack	organize school day	organize your school day
usedfor	backpack	play device	play your game device in class (psp, gba, and ds)
usedfor	backpack	prepare for boot camp	prepare for marine boot camp
usedfor	backpack	prepare for boot camp	prepare physically for marine boot camp
usedfor	backpack	prepare for day	prepare for the first day of middle school (girls)
usedfor	backpack	prepare for elementary school	get ready for school (elementary school)
usedfor	backpack	prepare for elementary school	prepare for elementary school
usedfor	backpack	prepare for hike	prepare for an overnight hike
usedfor	backpack	prepare kit	prepare a weekend warrior%27s survival kit
usedfor	backpack	prospect for gold	prospect for gold
usedfor	backpack	spy war	be a spy in a nerf war
usedfor	banana	consider hair	condition your hair with home made products
usedfor	banana	consider hair	condition your hair with homemade products
usedfor	banana	make breakfast	make a breakfast of honey bunches of oats with banana and strawberry milk
usedfor	banana	make curl	make banana curls
usedfor	banana	make dog	make a peanut butter and jelly banana dog
usedfor	banana	make drink	make a healthy breakfast drink
usedfor	banana	make mask	make an olive oil hair mask
usedfor	banana	make milkshake	make a really good milkshake
usedfor	banana	make nut	make choco banana nuts
usedfor	banana	make pie	make candy shop pie
usedfor	banana	make pudding	make chocolate custard pudding
usedfor	banana	make smoothie	make a fruit passion smoothie
usedfor	banana	make surprise	make a blender surprise
usedfor	banana	make sushi	make fruit sushi
usedfor	banana	make toast	make chocolate toast
usedfor	banana	make treat	make a rabbit treat
usedfor	banana	polish up shoe	polish shoes with a banana
usedfor	banana	polish up shoe	polish shoes with a banana
usedfor	banana	soften hair	soften hair after dyeing
usedfor	banana	soften hair	soften hair after hair dye makes it feel like straw
usedfor	banana	survive night	survive the night before christmas
usedfor	banana	take care	take care of oily skin with homemade products
usedfor	banana	test rule	test the five second rule
usedfor	band aid	stick needle	stick dialysis needles
usedfor	band saw	build stool	build a stool
usedfor	band saw	make staircase	make an impossible staircase
usedfor	bandsaw	build box	build a custom fiberglass subwoofer box
usedfor	bandsaw	build sleigh bed	build a sleigh bed
usedfor	bandsaw	make canoe	make a canoe
usedfor	bandsaw	make plane	make your own try plane
usedfor	barrette	make accessory	make a duct tape hair accessory
usedfor	barrette	make top hat	make a punk rock fishnet top hat
usedfor	baseball	perform windup	perform a successful pitching windup
usedfor	baseball	play football	play baseball football
usedfor	baseball	throw fastball	throw a 4 seam fastball
usedfor	basketball	ace tryout	ace basketball tryouts
usedfor	basketball	become man	become a dominant basketball big man
usedfor	basketball	choose accessory	choose basketball accessories
usedfor	basketball	hit shot	hit a half court shot in basketball
usedfor	basketball	judge quality	judge the quality of a basketball hoop
usedfor	basketball	organize tourney	organize a streetball tourney
usedfor	basketball	play horse	play horse (the basketball game)
usedfor	basketball	play hotshot	play hotshot
usedfor	basketball	shoot jump shot	shoot a jump shot
usedfor	basketball	shoot jump shot	shoot the perfect jump shot
usedfor	bass guitar	start band	start a rock n roll band
usedfor	baster	cook breast	cook a turkey breast in the crock pot
usedfor	baster	use method	use healthy cooking methods
usedfor	bath	pamper night	have a pamper evening alone
usedfor	bath	pamper night	have a relaxing self pampering night
usedfor	bath	prevent due	prevent weight gain due to chronic stress
usedfor	bath	remove odour	remove smoke odour from clothes
usedfor	bath salts	take bath	take a relaxing bath
usedfor	bathroom	make bead	make bath beads
usedfor	bathroom	skip class	skip a class by using the bathroom
usedfor	bathroom	tell need	tell when your ferret needs to go to the bathroom
usedfor	bathroom	use tampon	not be afraid the first time you use a tampon
usedfor	beaker	create solution	create a standard solution
usedfor	bear	make clothes	make small bear clothes
usedfor	beer can	make ornament	make beer can christmas ornaments
usedfor	beer glass	pour beer	pour beer
usedfor	bell pepper	make pasta	make pizza flavored pasta
usedfor	bell pepper	make salad	make a salad for your guinea pig
usedfor	bell pepper	make style	make a ratatouille ( filipino style )
usedfor	bell pepper	stuff salmon	prepare crab stuffed salmon
usedfor	bench	create garden	create a minimalist garden
usedfor	bench	stretch out back	stretch your back
usedfor	bicycle	size mountain bike	size a mountain bike
usedfor	bicycle	stay fit	stay fit without exercise
usedfor	bicycle	take action	take action to reduce air pollution
usedfor	binder	collect wrapper	collect candy wrappers
usedfor	binder	cover for school	make binder covers for school
usedfor	binder	create campaign	create a dungeons and dragons campaign
usedfor	binder	create scrapbook	create a scrapbook with friends
usedfor	binder	make agendum	make a school agenda
usedfor	binder	make cover	make binder covers for school
usedfor	binder	make last	make your school supplies last
usedfor	binder	make scrapbook	make a cookbook scrapbook
usedfor	binder	organize school	be organized in school
usedfor	binder	organize school	be ready and organized at school
usedfor	binder	organize school	be well organized in school
usedfor	binder	organize school	become more organized for school
usedfor	binder	pass class	pass a math class
usedfor	binding	make corset	make a corset
usedfor	bookshelf	arrange towel	arrange bathroom towels
usedfor	bookshelf	keep book	keep a book in good condition
usedfor	bottle	clean inside	clean the inside of a bottle
usedfor	bottle	earn cash	recycle aluminum cans and plastic bottles and earn cash
usedfor	bottle	make chocolate milk	make chocolate milk in a bottle
usedfor	bottle	make cream	make a honey hair cream
usedfor	bottle	make doll	make a baby doll out of a bottle
usedfor	bottle	make rattle	make a baby rattle at short notice
usedfor	bottle	make smoke	make liquid smoke
usedfor	bottle	make toner	make an herbal tea scalp toner
usedfor	bottle	make water	make wiccan blessed water
usedfor	bottle	make water	make wiccan holy water
usedfor	bottle	plant grapefruit	plant a grapefruit
usedfor	bottle	play spin	play spin the bottle with two people
usedfor	bottle	quiet infant	get an infant to stay in an infant seat without crying
usedfor	bottle	quiet infant	soothe or quiet an infant when secured in a car seat
usedfor	bottle	run time	stop a nose from running for a certain time
usedfor	bottle	stop nose	stop a nose from running for a certain time
usedfor	bottle	use dry ice	make a tornado using dry ice
usedfor	bow	dress up rock	dress your pet rock for a special occasion
usedfor	bow	make bouquet	make a candy bouquet
usedfor	bow	make fire	make a natural fire
usedfor	bow	make fire	make fire without matches or a lighter
usedfor	bow	make trap	make a trap
usedfor	bow	play tune	play some simple tunes on the violin
usedfor	bow	shoot arrow	shoot an arrow
usedfor	bow	understand technique	understand basic basket weaving techniques
usedfor	bow	wrap car	gift wrap a car
usedfor	bowl	activate yeast	activate fresh yeast
usedfor	bowl	add flower	add fresh flowers to a cake
usedfor	bowl	add gluten	add gluten to flour
usedfor	bowl	add smoke	add smoke to a gas grill
usedfor	bowl	apply castor oil	apply castor oil for hair
usedfor	bowl	apply nail polish	apply nail polish to natural nails
usedfor	bowl	apply shellac	apply shellac
usedfor	bowl	bake corn muffin	bake corn muffins
usedfor	bowl	bake root beer	bake root beer float cupcakes
usedfor	bowl	bake sweet potato	make jamaican style baked sweet potatoes
usedfor	bowl	boil beet	boil beets
usedfor	bowl	break egg	break an egg
usedfor	bowl	break out walnut	break walnuts at home
usedfor	bowl	chill drink	chill a drink quickly
usedfor	bowl	chop brinjal	chop brinjals
usedfor	bowl	clean lobster	clean a lobster
usedfor	bowl	clean sponge	clean a loofah or natural sponge
usedfor	bowl	color for hair	dye your hair with jello and food coloring (for dark hair)
usedfor	bowl	color shoe	bleach colored canvas shoes
usedfor	bowl	colour hair	color your hair with dye
usedfor	bowl	cook brussels sprout	cook brussels sprouts with chestnuts
usedfor	bowl	cook corned beef	cook corned beef
usedfor	bowl	cook corned beef	make corned beef
usedfor	bowl	cook express	cook bicol express
usedfor	bowl	cook flank steak	cook flank steak
usedfor	bowl	cook liver	cook liver and onions
usedfor	bowl	cook mussel	cook mussels
usedfor	bowl	cook rice	cook rice using a pyrex bowl with lid
usedfor	bowl	cook roast	cook sirloin tip roast
usedfor	bowl	cook vegetable	cook vegetables
usedfor	bowl	cover fruit	make chocolate covered cherries or fruit
usedfor	bowl	cover pretzel	make yogurt covered pretzels
usedfor	bowl	create effect	create a marble nail effect using water
usedfor	bowl	create effect	do nail marbeling
usedfor	bowl	create effect	marble nails
usedfor	bowl	create game	create christmas games
usedfor	bowl	create wax figure	create a candle wax figure
usedfor	bowl	crispen cucumber	crisp cucumbers
usedfor	bowl	curry style	make potatoes and peas curry in indian style
usedfor	bowl	dye lipstick	dye lipstick
usedfor	bowl	dye purple	dye your hair neon purple
usedfor	bowl	dye purple	dye your hair purple
usedfor	bowl	exfoliate leg	exfoliate legs with sugar
usedfor	bowl	exfoliate mask	make a mayonnaise and almond exfoliating mask
usedfor	bowl	fill for cake	make chocolate banana filling (for cakes)
usedfor	bowl	fill for cake	make raisin filling for a cake
usedfor	bowl	fill for pie	make mock mince meat filling for a pie
usedfor	bowl	fix garbage disposal	fix a garbage disposal
usedfor	bowl	fold up baking	fold (baking)
usedfor	bowl	freshen air	use herbs to freshen the air
usedfor	bowl	frost cupcake	make nutella frosted cupcakes
usedfor	bowl	go to salon	play barbie goes to the salon (for kids)
usedfor	bowl	grate carrot	use a vegetable grater to grate a carrot in indian style
usedfor	bowl	grill tomato	grill tomatoes
usedfor	bowl	grow gourd	grow gourds
usedfor	bowl	grow vine	grow a choko vine
usedfor	bowl	horn melon	eat a kiwano %28horned melon%29
usedfor	bowl	horn melon	eat a kiwano (horned melon)
usedfor	bowl	horn melon	eat a kiwano (or horned melon)
usedfor	bowl	ice cake	ice a cake
usedfor	bowl	improve texture	improve the texture of meringues or whipped egg whites
usedfor	bowl	infuse tequila	infuse tequila
usedfor	bowl	keep ant	keep ants off peonies
usedfor	bowl	lighten hair	lighten your hair with powdered vitamin c
usedfor	bowl	maintain boot	maintain waterproof leather boots
usedfor	bowl	make allspice	make allspice
usedfor	bowl	make anima	make anima in kashmiri style
usedfor	bowl	make apple	make glazed apples
usedfor	bowl	make apricot	make cinnamon apricots
usedfor	bowl	make art	make a pendulum art
usedfor	bowl	make bag	make oat soap bags
usedfor	bowl	make bagel	make cinnamon bagels
usedfor	bowl	make baklava	make vegan baklava
usedfor	bowl	make ball	make apricot and coconut seed balls
usedfor	bowl	make ball	make cheese balls
usedfor	bowl	make ball	make graham balls
usedfor	bowl	make ball	make herbal dosage balls for dogs
usedfor	bowl	make banana bread	make vegan banana bread
usedfor	bowl	make banana split	make a breakfast banana split
usedfor	bowl	make banana split	make a mini banana split
usedfor	bowl	make bar	make caramel apple bars
usedfor	bowl	make bar	make fudge bars
usedfor	bowl	make bar	make toffee ice cream bars
usedfor	bowl	make bath	make a strawberry bath
usedfor	bowl	make bear	make jello bears
usedfor	bowl	make birthday cake	make a birthday cake for small rodents
usedfor	bowl	make biscuit	make bitter chocolate orange peppermint biscuits
usedfor	bowl	make biscuit	make orange blossom biscuits
usedfor	bowl	make biscuit	make patience biscuits
usedfor	bowl	make biscuit	make saffron and spice biscuits
usedfor	bowl	make bite	make savory fresh apricot bites
usedfor	bowl	make blood pudding	make vampire blood pudding
usedfor	bowl	make blower	make a bubble blower
usedfor	bowl	make blue	make berry blue blueberry muffins
usedfor	bowl	make body lotion	make mint body lotion
usedfor	bowl	make bow	make a homemade bow
usedfor	bowl	make bracelet	make a toothbrush bracelet
usedfor	bowl	make bracelet	make beaded bracelets
usedfor	bowl	make bread	make dill bread
usedfor	bowl	make bread	make focaccia style flax bread
usedfor	bowl	make bread	make gluten free bread
usedfor	bowl	make broccoli	make oven roasted broccoli
usedfor	bowl	make brownie	make nutella brownies
usedfor	bowl	make brownie	make pink brownies
usedfor	bowl	make bulgur pilaf	make red lentil and bulgur pilaf (for backpacking)
usedfor	bowl	make bun	make rice krispie buns
usedfor	bowl	make burger	make mashed bean burgers
usedfor	bowl	make burger	make teriyaki onion burgers
usedfor	bowl	make butter	make orange brandy butter
usedfor	bowl	make butter	make rosemary butter
usedfor	bowl	make buttermilk pancake	make buttermilk pancakes
usedfor	bowl	make butternut squash	make roasted butternut squash with rice
usedfor	bowl	make cake	make a dreamsicle cake (orange cream cake)
usedfor	bowl	make cake	make a raw apple cake
usedfor	bowl	make cake	make a scottish whisky dundee cake
usedfor	bowl	make cake	make caraway cakes
usedfor	bowl	make cake	make cherry almond cake
usedfor	bowl	make cake	make hot fudge pudding cake
usedfor	bowl	make cake	make lemon polenta cake
usedfor	bowl	make cake	make mealworm suet cakes for bluebirds
usedfor	bowl	make cake	make milk cake
usedfor	bowl	make cake	make perfect butter cakes
usedfor	bowl	make cake	make plum and raspberry cake
usedfor	bowl	make cake	make rice crispy cakes
usedfor	bowl	make cake	make soul cakes
usedfor	bowl	make cake	make vanilla and lemon butter cake
usedfor	bowl	make candle	make a candle out of babybel wax
usedfor	bowl	make candy	make easy turtle candy
usedfor	bowl	make candy	make uncooked fondant candies
usedfor	bowl	make cantaloupe	make cantaloupe with lemon balm
usedfor	bowl	make caramel	make ribbon caramels
usedfor	bowl	make caramel apple	make a fake caramel apple
usedfor	bowl	make casserole	make hash brown casserole
usedfor	bowl	make cheese	make labneh cheese
usedfor	bowl	make cheesecake	make white chocolate cheesecake
usedfor	bowl	make chicken	make asian style lemon chicken
usedfor	bowl	make chicken	make bang bang chicken
usedfor	bowl	make chicken salad	make curried chicken salad with mango
usedfor	bowl	make chicken wing	make thai style grilled chicken wings
usedfor	bowl	make chip	make sweet potato and yam chips
usedfor	bowl	make chocolate	make chocolate
usedfor	bowl	make chocolate	make chocolate
usedfor	bowl	make chocolate	make chocolate by hand
usedfor	bowl	make chocolate chip cookie	make a chocolate chip cookies like mrs fields cookies
usedfor	bowl	make chocolate chip cookie	make mrs. fields chocolate chip cookies
usedfor	bowl	make chow	make apple chow
usedfor	bowl	make chutney	make an instant mixed vegetable chutney in kashmiri style
usedfor	bowl	make clay	make air%e2%80%90dry clay from potato starch
usedfor	bowl	make clay	make candy clay
usedfor	bowl	make cleaner	make a heavy duty cleaner for color fast rugs
usedfor	bowl	make cleanser	make a lemon face cleanser
usedfor	bowl	make clotted cream	make easy clotted cream
usedfor	bowl	make coconut milk	make coconut milk
usedfor	bowl	make compass	make a compass
usedfor	bowl	make cookie	make bath cookies
usedfor	bowl	make cookie	make coffee cookies
usedfor	bowl	make cookie	make cookie cutter cookies
usedfor	bowl	make cookie	make flower shaped cookies by hand
usedfor	bowl	make cookie	make jam thumbprint cookies
usedfor	bowl	make cookie	make patrick star cookies
usedfor	bowl	make cookie	make peanut cookies
usedfor	bowl	make corn salad	make a crunchy sweet corn salad with buttermilk dressing
usedfor	bowl	make cracker	make healthy, low cal parmesan crackers
usedfor	bowl	make cream	make a violet and sage cold sore cream
usedfor	bowl	make cream	make peach and almond cream tart
usedfor	bowl	make cream	make peppermint creams
usedfor	bowl	make cream	make violet creams
usedfor	bowl	make cream	make violet eye cream
usedfor	bowl	make cream	make whipple cream
usedfor	bowl	make cream	make your own diaper cream
usedfor	bowl	make cream cheese	cook dessert with strawberry%2c pineapple and cream cheese
usedfor	bowl	make cream cheese	make a layered strawberry, pineapple and cream cheese dessert
usedfor	bowl	make croissant	make croissants
usedfor	bowl	make cube	make edible fruit cubes
usedfor	bowl	make cube	make yummy fruit cubes (edible)
usedfor	bowl	make cup	make lasagna cups
usedfor	bowl	make cup	make stuffed zucchini cups with meat, tomatoes and mozzarella
usedfor	bowl	make cupcake	make chocolate poppy seed cupcakes
usedfor	bowl	make cupcake	make chocolate pumpkin cupcakes
usedfor	bowl	make cupcake	make melted snowmen cupcakes
usedfor	bowl	make cupcake	make monster energy drink cupcakes
usedfor	bowl	make cupcake	make nutella and cream cheese cupcakes
usedfor	bowl	make cupcake	make oreo cupcakes
usedfor	bowl	make cupcake	make pinoy cheese cupcakes
usedfor	bowl	make curry	make potatoes and peas curry in indian style
usedfor	bowl	make custard	make baked chocolate custard
usedfor	bowl	make dessert	make a chocolate popsicle dessert
usedfor	bowl	make dessert	make an ice cream dessert
usedfor	bowl	make deviled egg	make creamy mustard deviled eggs
usedfor	bowl	make dip	make a cheezy beer dip
usedfor	bowl	make dog biscuit	make cheesy dog biscuits
usedfor	bowl	make dough	make a 3d snowman decoration (salt dough)
usedfor	bowl	make dumpling	make blueberry dumplings
usedfor	bowl	make egg	make banana flavored eggs
usedfor	bowl	make egg	make pancakes without batter
usedfor	bowl	make egg	make vegetarian filled eggs
usedfor	bowl	make face mask	make a carrot face mask
usedfor	bowl	make face mask	make a green tea face mask
usedfor	bowl	make face mask	make a homemade face mask for dry skin
usedfor	bowl	make face mask	make a tea face mask
usedfor	bowl	make facial	make a butter, olive oil and honey facial
usedfor	bowl	make fat	make waldorf salad (low fat)
usedfor	bowl	make filling	make chocolate banana filling (for cakes)
usedfor	bowl	make filling	make raisin filling for a cake
usedfor	bowl	make filling	make silk cake filling
usedfor	bowl	make finger	make peanut butter finger mini cheesecakes
usedfor	bowl	make flan	make coffee flan
usedfor	bowl	make floater	make a pie floater
usedfor	bowl	make flour	make an all purpose gluten free flour
usedfor	bowl	make flour	make coconut flour with flaked coconut
usedfor	bowl	make flour	make flour
usedfor	bowl	make foam	make carpet cleansing foam
usedfor	bowl	make fondant	make chocolate caramel walnuts (uncooked fondant)
usedfor	bowl	make food	make baby alive food
usedfor	bowl	make food	make zucchini pasta alfredo (raw food)
usedfor	bowl	make frame	make a papier%e2%80%90m%c3%a2ch%c3%a9 frame with cardboard and spray paints
usedfor	bowl	make frame	make paper mach%27e frame with cardboard and spray paints
usedfor	bowl	make fries	make belgian fries
usedfor	bowl	make fries	make excellent homemade cheese fries
usedfor	bowl	make fries	make homemade cheese fries
usedfor	bowl	make fruit salad	make a fruit salad with two sauces
usedfor	bowl	make fruit salad	make a summer combination fruit salad
usedfor	bowl	make fry	make sausage egg fry with tomatoes
usedfor	bowl	make fudge	make peanut butter fudge
usedfor	bowl	make gelatin	make fruit gelatin from scratch
usedfor	bowl	make gin	make lemon gin
usedfor	bowl	make gingerbread	make old fashioned chocolate gingerbread
usedfor	bowl	make glow	make glow in the dark paint
usedfor	bowl	make glue	make glue
usedfor	bowl	make gold	make fake gold from nickels
usedfor	bowl	make group	make a dog group
usedfor	bowl	make gull	make slum gull
usedfor	bowl	make hair dye	make natrual hair dye for a doll (easy)
usedfor	bowl	make hair oil	make ayurvedic hair oil
usedfor	bowl	make hard candy	make hard candy out of sugar
usedfor	bowl	make heart	make floating hearts
usedfor	bowl	make henna	make henna for use on skin
usedfor	bowl	make hot chocolate	make hershey%27s cocoa hot chocolate
usedfor	bowl	make house	make a house for your pet rock (also how to make a food bowl)
usedfor	bowl	make hummus	make chipotle hummus
usedfor	bowl	make ice	make italian ice
usedfor	bowl	make ice cream	make a shortcut orange and coconut ice cream
usedfor	bowl	make ice cream	make coffee ice cream
usedfor	bowl	make ice cream	make one ingredient banana %22ice cream%22
usedfor	bowl	make ice cream	make raspberry ice cream in a bag
usedfor	bowl	make ice cream	make rose and pistachio ice cream
usedfor	bowl	make icing	make passion fruit icing
usedfor	bowl	make ivory	make faux ivory with polymer clay
usedfor	bowl	make jar	make a jelly marble jar
usedfor	bowl	make jelly	make elderberry jelly
usedfor	bowl	make juice	make fog juice
usedfor	bowl	make juice	make pomegranate juice
usedfor	bowl	make kebab	make adana kebab
usedfor	bowl	make lasagna	make pumpkin lasagna
usedfor	bowl	make lavender	make a lavender after sun cream
usedfor	bowl	make layer cake	make a mandarin orange surprise layer cake
usedfor	bowl	make leaf	make candied mint leaves
usedfor	bowl	make lipstick	make a glitter lipstick
usedfor	bowl	make lipstick	make shimmery lipstick
usedfor	bowl	make liqueur	make banana liqueur
usedfor	bowl	make liquid soap	make liquid soap for babies
usedfor	bowl	make loaf	make weet bix malt loaf
usedfor	bowl	make macaroni and cheese	make macaroni and cheese using cheez whiz
usedfor	bowl	make macaroon	make cherry macaroons
usedfor	bowl	make makeup	make makeup from eyeshadow
usedfor	bowl	make marshmallow	make marshmallows
usedfor	bowl	make mask	make a hair mask with fenugreek seeds
usedfor	bowl	make mask	make a lemon oil mask
usedfor	bowl	make mask	make a mayonnaise and almond exfoliating mask
usedfor	bowl	make mask	make a papier m%c3%a2ch%c3%a9 mask %28for kids%29
usedfor	bowl	make mask	make a papier m%c3%a2ch%c3%a9 mask (for kids)
usedfor	bowl	make mask	make a rose and honey mask
usedfor	bowl	make mask	make a strawberries and cream facial mask
usedfor	bowl	make mask	make an egg facial mask
usedfor	bowl	make mask	make an egg, olive oil, and oatmeal mask
usedfor	bowl	make mayonnaise	make curry mayonnaise
usedfor	bowl	make mayonnaise	make mayonnaise
usedfor	bowl	make meal	make an oat based raw cat food meal
usedfor	bowl	make meal	make easy homemade raw cat food menu
usedfor	bowl	make meatball	make meatballs in a crockpot
usedfor	bowl	make method	(easily!) make your own perfume
usedfor	bowl	make method	make perfume (flower blossoms and water method)
usedfor	bowl	make microwave	make porridge using a microwave
usedfor	bowl	make milk	make almond milk with a juicer
usedfor	bowl	make milkshake	make pb%26 j milkshakes
usedfor	bowl	make milkshake	make peanut butter and jelly milkshakes
usedfor	bowl	make mint	make dog breath mints
usedfor	bowl	make mole	make vegan mole
usedfor	bowl	make mousse	make a salmon mousse
usedfor	bowl	make mouthwash	make angelica mouthwash
usedfor	bowl	make muesli	make bircher muesli with pear and berries
usedfor	bowl	make muffin	make marshmallow muffins
usedfor	bowl	make mush	make corn meal mush
usedfor	bowl	make mustard	make dijon mustard
usedfor	bowl	make mustard sauce	make mcdonald%27s honey mustard sauce
usedfor	bowl	make mutton	make mutton and lotus stem curry
usedfor	bowl	make noodle	make buttery soy noodles
usedfor	bowl	make nut	make spiced nuts
usedfor	bowl	make oatmeal	make chocolate chip oatmeal in ten minutes
usedfor	bowl	make oil	make lavender oil
usedfor	bowl	make omelet	make a microwave omelet
usedfor	bowl	make omelette	make a cheese omelette
usedfor	bowl	make omelette	make a fluffy 3 egg omelette
usedfor	bowl	make onion	make onion and cucumber raita
usedfor	bowl	make orange	make vodka infused oranges
usedfor	bowl	make ornament	make a string ornament
usedfor	bowl	make pancake	make banana pancakes
usedfor	bowl	make pancake	make carrot pancakes
usedfor	bowl	make pancake	make pancakes with soy milk
usedfor	bowl	make paper	make flash paper
usedfor	bowl	make paste	make wheat paste
usedfor	bowl	make pastry	make filo pastry
usedfor	bowl	make pastry	make pastries
usedfor	bowl	make pastry	make sweet walnut pastry
usedfor	bowl	make pepper sauce	make a pepper sauce
usedfor	bowl	make peppermint	make chocolate peppermints
usedfor	bowl	make pesto	make coriander and hazelnut pesto
usedfor	bowl	make pie	make a petit beurre pie
usedfor	bowl	make pie	make blueberry nectarine pie
usedfor	bowl	make pie	make blueberry strawberry peach pie
usedfor	bowl	make pie	make streusel top peach pie
usedfor	bowl	make pie crust	make a pie crust ahead of time
usedfor	bowl	make pie crust	make a rice krispie pie crust
usedfor	bowl	make pie crust	make pie crust with vodka
usedfor	bowl	make pond	make a jelly pond
usedfor	bowl	make pop	make apple banana ice pops
usedfor	bowl	make popcorn	make green popcorn
usedfor	bowl	make popsicle	make organic fruit juice popsicles
usedfor	bowl	make popsicle	make peanut popsicles for dogs
usedfor	bowl	make porridge	make cornmeal porridge
usedfor	bowl	make potpourri	make rose potpourri
usedfor	bowl	make powder	make sneezing powder
usedfor	bowl	make pretzel	make yogurt covered pretzels
usedfor	bowl	make pudding	make maple rice pudding
usedfor	bowl	make pudding	make summer pudding
usedfor	bowl	make puff	make chicken puffs
usedfor	bowl	make punch	make caribbean punch
usedfor	bowl	make putty	make silly putty
usedfor	bowl	make putty	make silly putty  nonstick
usedfor	bowl	make quiche	make zucchini and cherry tomato quiche
usedfor	bowl	make ramp	make a clay tech deck ramp
usedfor	bowl	make roast	make a mixed nut roast
usedfor	bowl	make roulade	make chocolate roulade
usedfor	bowl	make salad	cook salads
usedfor	bowl	make salad	make a greek country bean salad
usedfor	bowl	make salad	make a hormel spam salad
usedfor	bowl	make salad	make a jello salad
usedfor	bowl	make salad	make a salad
usedfor	bowl	make salad	make a salad without leaves in it
usedfor	bowl	make salad	make a thousand island salad
usedfor	bowl	make salad	make ambrosia salad
usedfor	bowl	make salad	make cold maggi salad
usedfor	bowl	make salad	make egg salad
usedfor	bowl	make salad	make egg salad for a single sandwich
usedfor	bowl	make salad	make orange salad with cinnamon
usedfor	bowl	make salad	make oriental broccoli salad
usedfor	bowl	make salad	make seared salmon salad
usedfor	bowl	make salad	make taffy apple salad
